RISET HARGA RESMI / ORIGINAL PRODUK,,,,,,,,,,
Tanggal riset: 26 Mei 2026. Harga resmi bisa berbeda per region dan promo; label reseller ditandai sebagai padanan terdekat atau tidak ada paket resmi.,,,,,,,,,,
,,,,,,,,,,
Produk di file,Harga di file,Paket resmi acuan,Harga resmi / original,Status,Catatan,Sumber resmi,,,,
CANVA ADMIN 1 Bln,Rp6.000,Canva Business,Rp130.000/bulan,padanan terdekat,Label admin adalah label reseller; padanan resmi publik terdekat adalah Business.,https://apps.apple.com/id/app/canva-ai-video-photo-editor/id897446215,,,,
CANVA HEAD/OWNER 1 Bln,Rp8.500,Canva Business,Rp130.000/bulan,padanan terdekat,Label head/owner bukan nama paket resmi; padanan resmi publik terdekat adalah Business.,https://apps.apple.com/id/app/canva-ai-video-photo-editor/id897446215,,,,
CAPCUT SHARING 1 Hari,Rp4.000,CapCut Pro,Rp144.000/bulan,padanan terdekat,Tidak ada paket harian resmi yang terlihat; acuan resmi terdekat adalah Pro bulanan.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT SHARING 7 Hari,Rp3.000,CapCut Pro,Rp144.000/bulan,padanan terdekat,Tidak ada paket mingguan resmi yang terlihat; acuan resmi terdekat adalah Pro bulanan.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT SHARING 1 Bln,Rp8.500,CapCut Pro,Rp144.000/bulan,match langsung,Paket Pro bulanan resmi.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT SHARING 1 Thn [6 bln garansi],Rp35.000,CapCut Pro,Rp455.000/tahun,match langsung,Paket Pro tahunan resmi.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT SHARING 1 Thn [full garansi],Rp45.000,CapCut Pro,Rp455.000/tahun,match langsung,Paket Pro tahunan resmi.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT PRIVATE 7 Hari,Rp7.500,CapCut Pro,Rp144.000/bulan,padanan terdekat,Tidak ada paket mingguan resmi yang terlihat; acuan resmi terdekat adalah Pro bulanan.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT PRIVATE 1 Bln [7 hari garansi],Rp11.000,CapCut Pro,Rp144.000/bulan,match langsung,Paket Pro bulanan resmi.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CAPCUT PRIVATE 1 Bln [full garansi],Rp18.000,CapCut Pro,Rp144.000/bulan,match langsung,Paket Pro bulanan resmi.,https://apps.apple.com/id/app/capcut-editor-foto-video/id1500855883?l=id,,,,
CHATGPT+ SHARING 1 Bln,Rp31.000,ChatGPT Plus,Rp320.000,perlu cek langsung,"Halaman pricing resmi tersedia, tapi cuplikan yang tertangkap tidak menampilkan angka harga.",https://chatgpt.com/pricing/,,,,
IQIYI SHARING 1 Bln,Rp7.500,iQIYI Standard VIP,Rp35.135 / bulan,match langsung,Nama paket resmi di laman iQIYI adalah Standard VIP.,https://www.iq.com/vip/order?lang=id_id,,,,
IQIYI SHARING 3 Bln,Rp13.000,iQIYI Standard VIP,Rp98.198,perlu hitung total,Bundel 3 bulan resmi tidak tertangkap; total dihitung dari harga bulanan resmi promo.,https://www.iq.com/vip/order?lang=id_id,,,,
REMINI SHARING Web 1 Bln,Rp8.500,Remini Pro,Rp636.000,perlu cek langsung,"Cuplikan resmi yang tertangkap hanya menunjukkan Pro Weekly USD 9.99 dan Pro Yearly USD 79.99, tergantung region.",https://apps.apple.com/vu/app/remini-ai-photo-enhancer/id1470373330,,,,
REMINI SHARING Android 1 Thn,Rp25.000,Remini Pro,Rp1.280.000,match langsung,Harga resmi App Store yang tertangkap menunjukkan paket tahunan Pro.,https://apps.apple.com/vu/app/remini-ai-photo-enhancer/id1470373330,,,,
SPOTIFY INDPLAN 1 Bln,Rp11.000,Spotify Premium Standard,Rp59.900/bulan,match langsung,Paket resmi individual/standard di Spotify Indonesia.,https://www.spotify.com/id-en/premium/,,,,
SPOTIFY FAMPLAN 1 Bln,Rp18.000,Spotify Premium Platinum,Rp119.900/bulan,padanan terdekat,Label file memakai 'FAMPLAN'; paket resmi terdekat yang tampil adalah Platinum.,https://www.spotify.com/id-en/platinum/,,,,
SPOTIFY FAMPLAN 2 Bln,Rp43.000,Spotify Premium Platinum,Rp239.800 total (2 × Rp119.900),perlu hitung total,Tidak ada bundel 2 bulan resmi yang terlihat; total dihitung dari harga bulanan resmi.,https://www.spotify.com/id-en/platinum/,,,,
VIU ANLIM 1 Bln,Rp3.500,Viu Premium,Rp33.000/bulan,padanan terdekat,Paket resmi yang tertangkap adalah Viu Premium.,https://www.viu.com/ott/id/articles/viu-premium/,,,,
VIU PRIVATE 1 Bln,Rp3.500,Viu Premium,Rp33.000/bulan,padanan terdekat,Tidak ada paket 'private' resmi publik; padanan terdekat adalah Viu Premium.,https://www.viu.com/ott/id/articles/viu-premium/,,,,
VIU+ 1 Bln,Rp11.000,Viu Premium,Rp33.000/bulan,padanan terdekat,Label 'Viu+' diperlakukan sebagai padanan Viu Premium.,https://www.viu.com/ott/id/articles/viu-premium/,,,,
VIU+ 3 Bln,Rp15.000,Viu Premium,Rp99.000,perlu hitung total,Bundel 3 bulan resmi tidak terlihat; total dihitung dari harga bulanan resmi.,https://www.viu.com/ott/id/articles/viu-premium/,,,,
WETV SHARING 1 Bln,Rp6.000,WeTV VIP,Rp15.000,match langsung,Halaman resmi menampilkan harga purchase now US$5.99.,https://film.wetv.vip/h5/wetv/vip-center/iflix.html,,,,
WETV SHARING 3 Bln,Rp11.000,WeTV VIP,Rp141.900,perlu hitung total,Bundel 3 bulan resmi tidak tertangkap; total dihitung dari harga bulanan resmi.,https://film.wetv.vip/h5/wetv/vip-center/iflix.html,,,,
WETV SHARING 1 Thn,Rp18.000,WeTV VIP,Rp493.900,perlu hitung total,Harga tahunan resmi tidak tertangkap; total dihitung dari harga bulanan resmi.,https://film.wetv.vip/h5/wetv/vip-center/iflix.html,,,,
WETV PRIVATE 1 Bln,Rp44.000,WeTV VIP,Rp106.556,match langsung,Tidak ada paket private resmi publik; acuan resmi terdekat adalah VIP bulanan.,https://film.wetv.vip/h5/wetv/vip-center/iflix.html,,,,
YOUTUBE FAMPLAN 1 Bln,Rp4.500,YouTube Premium Family,Rp480.125,match langsung,Paket family resmi untuk hingga 5 anggota rumah tangga.,https://www.youtube.com/premium,,,,
YOUTUBE INDPLAN 1 Bln,Rp8.500,YouTube Premium Individual,Rp284.446,match langsung,Paket individual resmi.,https://www.youtube.com/premium,,,,
YOUTUBE INDPLAN 2 Bln,Rp18.000,YouTube Premium Individual,Rp568.892,perlu hitung total,Bundel 2 bulan resmi tidak terlihat; total dihitung dari harga bulanan resmi.,https://www.youtube.com/premium,,,,
YOUTUBE INDPLAN 3 Bln,Rp32.000,YouTube Premium Individual,Rp853.338,perlu hitung total,Bundel 3 bulan resmi tidak terlihat; total dihitung dari harga bulanan resmi.,https://www.youtube.com/premium,,,,
YOUTUBE FAMHEAD 1 Bln,Rp10.000,YouTube Premium Family,Rp480.125,padanan terdekat,Label 'FAMHEAD' bukan nama paket resmi; paling dekat Family.,https://www.youtube.com/premium,,,,
ZOOM PRIVATE 14 Hari,Rp8.500,Zoom Workplace Pro,Rp226.000,padanan terdekat,Tidak ada paket 14 hari resmi yang terlihat; acuan resmi terdekat adalah Pro bulanan.,https://www.zoom.com/pricing,,,,
